Unnamed: 0,Suomi,English
3306,parempaan ,for the better 
3307,pysyt ,you stay 
3308,vaimon ,the wife 
3309,häiritä ,disturb 
3310,Barry ,Barry 
3311,muutenkin ,as it is 
3312,sattunut ,happened 
3313,hyökkäys ,attack 
3314,silmäni ,my eyes 
3315,osavaltion ,state 
3316,puhuneet ,have spoken 
3317,reitti ,route 
3318,pastori ,pastor 
3319,aseella ,with a gun 
3320,Johnson ,Johnson 
3321,lapsena ,as a child 
3322,mahdollisuuksia ,opportunities 
3323,tyttöystävä ,girlfriend 
3324,pakottaa ,force 
3325,historiaa ,history 
3326,ammutaan ,let's shoot 
3327,pelasta ,save 
3328,vaikutti ,affected 
3329,valittu ,chosen 
3330,surullista ,sad 
3331,sotilaat ,troop 
3332,läski ,fat 
3333,kuulunut ,heard 
3334,Doug ,Doug 
3335,mustaa ,black 
3336,kuulosti ,sounded like 
3337,tavaroita ,goods 
3338,elän ,i live 
3339,itsestäni ,about myself 
3340,seuraavalla ,on the next one 
3341,tarkistan ,I will check 
3342,joitain ,some 
3343,apina ,monkey 
3344,koirat ,dogs 
3345,seuraamme ,we follow 
3346,peräänny ,back off 
3347,painua ,sink 
3348,doc ,doc 
3349,mustan ,black 
3350,hotelli ,hotel 
3351,vaikuttavaa ,impressive 
3352,satoja ,hundreds 
3353,jäsen ,member 
3354,ongelmasi ,your problem 
3355,vievät ,will take 
3356,jutellaan ,let's talk 
3357,vapaata ,off 
3358,eläin ,animal 
3359,yllättynyt ,surprised 
3360,tuliko ,did you come 
3361,päivät ,days 
3362,historian ,of history 
3363,puhetta ,talk 
3364,hermostunut ,nervous 
3365,tekstitys ,subtitles 
3366,puolelta ,from the side 
3367,henkilön ,person 
3368,perjantaina ,on Friday 
3369,istun ,I'm sitting 
3370,luvun ,chapter 
3371,tuhoaa ,destroys 
3372,ihmeellistä ,wonderful 
3373,Katie ,Katie 
3374,lista ,list 
3375,suurempi ,bigger 
3376,tapella ,fight 
3377,ken ,who 
3378,ansiosta ,thanks to 
3379,ajassa ,in time 
3380,Patrick ,Patrick 
3381,oikeita ,real ones 
3382,ongelmaa ,problem 
3383,joudumme ,we have to 
3384,enhän ,I don't 
3385,soi ,is ringing 
3386,oudolta ,strangely 
3387,katsoi ,looked at 
3388,tottunut ,accustomed to 
3389,tuuli ,wind 
3390,huijata ,cheat 
3391,vihollisen ,the enemy 
3392,askel ,step 
3393,pankaa ,bank 
3394,kenellä ,by whom 
3395,avaan ,I will open 
3396,tavallista ,usual 
3397,pakota ,force 
3398,henkilökohtaista ,personal column 
3399,paskaakaan ,shit 
3400,sekunnin ,of a second 
3401,antavat ,give 
3402,osasto ,department 
3403,ettekä ,and you don't 
3404,kuulkaa ,listen 
3405,tarkoitatte ,you mean 
3406,uhka ,risk 
3407,vankilasta ,from prison 
3408,tuhma ,naughty 
3409,käytämme ,we use 
3410,myöhä ,late 
3411,menoa ,to go 
3412,kertovat ,tell 
3413,ajoin ,I drove 
3414,ero ,differential 
3415,vaikuta ,affect 
3416,osoitteessa ,at the address 
3417,tulevaisuuden ,coming 
3418,lopettanut ,through 
3419,löysitkö ,Did you find 
3420,sulkekaa ,shut up 
3421,asiakas ,customer 
3422,baarissa ,at the bar 
3423,uudesta ,from the new one 
3424,päätti ,boat 
3425,Gary ,Gary 
3426,miehistä ,of men 
3427,suudella ,kiss 
3428,luen ,I'm reading 
3429,näköinen ,-looking 
3430,häät ,wedding 
3431,kännissä ,smashed 
3432,arvaan ,i guess 
3433,lähtivät ,they left 
3434,löytävät ,will find 
3435,kerrottavaa ,something to tell 
3436,miksemme ,why not 
3437,valehtelit ,you lied 
3438,poikanne ,your son 
3439,vanhus ,senior citizen 
3440,tutki ,investigate 
3441,nauttia ,have 
3442,ilma ,air 
3443,paita ,shirt 
3444,kirje ,letter 
3445,vastauksen ,the answer 
3446,töistä ,from work 
3447,miksette ,why don't you 
3448,vahingossa ,accidentally 
3449,kaikkiin ,to everyone 
3450,rahasi ,your money 
3451,autosi ,your car 
3452,hoidettu ,taken care of 
3453,annatko ,do you give 
3454,my ,me 
3455,puhutko ,are you talking 
3456,päällesi ,on you 
3457,mahdollinen ,possible 
3458,tehän ,I will 
3459,laskee ,counts 
3460,liikkua ,move 
3461,etenkin ,especially 
3462,an ,an 
3463,petturi ,traitor 
3464,esille ,up 
3465,astu ,step in 
3466,helen ,Helen 
3467,sanani ,my words 
3468,ystävänsä ,his friend 
3469,sitähän ,that's it 
3470,näpit ,keys 
3471,autoja ,cars 
3472,erityisesti ,particularly 
3473,tosissaan ,seriously 
3474,pystymme ,we can 
3475,lasken ,I count 
3476,tekin ,also 
3477,tunteita ,emotions 
3478,pääsevät ,can get 
3479,vallan ,power 
3480,erityinen ,special 
3481,myrsky ,storm 
3482,varoitus ,Warning 
3483,hotellissa ,at a hotel 
3484,nappaa ,grab 
3485,veren ,blood 
3486,palaat ,you return 
3487,viikonloppuna ,on the weekend 
3488,saattavat ,might 
3489,lana ,lana 
3490,näittekö ,Did you see? 
3491,tapamme ,we kill 
3492,kunnioitusta ,respect 
3493,parhaita ,the best 
3494,joukot ,forces 
3495,voitto ,profit 
3496,näihin ,to these 
3497,suihkussa ,in the shower 
3498,voittanut ,won 
3499,veitsi ,knife 
3500,eläimiä ,animals 
3501,outoja ,strange 
3502,varsinainen ,actual 
3503,hevonen ,horse 
3504,hankala ,tricky 
3505,parempia ,better ones 
3506,keskus ,central 
3507,tuonut ,brought 
3508,työt ,work 
3509,kuun ,lunar 
3510,sivuun ,aside 
3511,jutusta ,about the story 
3512,nouskaa ,get up 
3513,äänen ,sound 
3514,ned ,Sun 
3515,menneet ,gone 
3516,jollain ,with something 
3517,jalka ,foot 
3518,hommia ,chores 
3519,joutunut ,had to 
3520,soittamaan ,to call 
3521,jokaisella ,with everyone 
3522,taistele ,fight 
3523,toivo ,hope 
3524,epäilen ,I doubt it 
3525,numeron ,the number 
3526,mikäs ,what 
3527,elämme ,we live 
3528,planeetan ,the planet 
3529,vastannut ,answered 
3530,kiirehdi ,hurry up 
3531,lihava ,fat 
3532,armoa ,mercy 
3533,kahteen ,to two 
3534,kävele ,take a walk 
3535,puoliksi ,in half 
3536,miller ,Miller 
3537,tehtävää ,task 
3538,normaalisti ,normally 
3539,käskyjä ,orders 
3540,miekka ,sword 
3541,tapahtuisi ,would happen 
3542,kuulosta ,sound 
3543,Jackin ,Jack's 
3544,onni ,luck 
3545,pentu ,puppy 
3546,erilaisia ,different sorts of 
3547,sovimme ,we agreed 
3548,lou ,Lou 
3549,lincoln ,lincoln 
3550,juonut ,drank 
3551,vikani ,my fault 
3552,tutkimme ,we investigate 
3553,jenny ,Jenny 
3554,nähty ,seen 
3555,laiva ,ship 
3556,valon ,the light 
3557,erota ,differ 
3558,kylmää ,cold 
3559,herätys ,wake-up 
3560,Andrew ,Andrew 
3561,vastausta ,answer 
3562,takki ,jacket 
3563,pyysit ,you asked 
3564,sydämesi ,your heart 
3565,virheitä ,errors 
3566,löytynyt ,found 
3567,kauppa ,trade 
3568,kestänyt ,endured 
3569,kirjoja ,books 
3570,tila ,status 
3571,nuoria ,young people 
3572,näkynyt ,seen 
3573,katsonut ,watched 
3574,kahdessa ,in two 
3575,tunnetteko ,do you feel 
3576,perheensä ,his family 
3577,ylikonstaapeli ,sergeant 
3578,luulitko ,Did you think 
3579,arvata ,guess 
3580,riskin ,the risk 
3581,tällaisen ,like this 
3582,isoa ,big 
3583,luulimme ,we thought 
3584,sittenkin ,even so 
3585,kunnian ,honor 
3586,yrittivät ,tried 
3587,selitän ,I'll explain 
3588,selkään ,back 
3589,käyttöä ,use 
3590,pääsette ,you can 
3591,länteen ,westward 
3592,lopullisesti ,finally 
3593,ystävän ,a friend 
3594,itään ,east 
3595,ilmaiseksi ,free 
3596,maitoa ,milk 
3597,autolla ,by road 
3598,jäin ,i stayed 
3599,omaan ,to my own 
3600,Ron ,Ron 
3601,haluaako ,do you want 
3602,metsässä ,in the forest 
3603,tuhoa ,destroy 
3604,luule ,think 
3605,kauemmin ,longer 
3606,temppu ,trick 
3607,laitonta ,illegal 
3608,makaa ,lie down 
3609,itke ,cry 
3610,näyttelijä ,actor 
3611,tienneet ,knew 
3612,tyttöystäväni ,my girlfriend 
3613,kera ,with 
3614,polta ,smoke 
3615,lapsesi ,your child 
3616,Jacob ,Jacob 
3617,kuoliaaksi ,to death 
3618,kotoa ,from home 
3619,syyn ,the reason 
3620,merkitse ,mark 
3621,pelottavaa ,scary 
3622,nousi ,rose 
3623,lahjoja ,gifts 
3624,lauantaina ,on Saturday 
3625,ampumaan ,to shoot 
3626,läheltä ,at close range 
3627,lahjan ,a gift 
3628,joulu ,Christmas 
3629,ruumiita ,corpses 
3630,tuollaisia ,like that 
3631,taksi ,taxi 
3632,ammuin ,i shot 
3633,unia ,dreams 
3634,pysyn ,i stay 
3635,Taylor ,Taylor 
3636,puolestaan ,in turn 
3637,täsmälleen ,exactly 
3638,Louis ,Louis 
3639,arvasin ,I guessed 
3640,erikoista ,special 
3641,oikeudessa ,in court 
3642,puhelimen ,phone 
3643,sulla ,you have 
3644,isääni ,my father 
3645,Derek ,Derek 
3646,benjamin ,Benjamin 
3647,ympärillä ,around 
3648,suuret ,big ones 
3649,tuskaa ,pain 
3650,ilmassa ,in the air 
3651,hoitaja ,nurse 
3652,tällaisia ,like these 
3653,ajatuksia ,thoughts 
3654,lähetettiin ,was sent 
3655,tarinoita ,stories 
3656,onkohan ,is it 
3657,sisar ,sister 
3658,yleisö ,audience 
3659,isompi ,bigger 
3660,ampuko ,shoot 
3661,jatkan ,i will continue 
3662,tulisit ,you would come 
3663,elävät ,are living 
3664,ilmestyi ,appeared 
3665,ilmaista ,express 
3666,virallisesti ,officially 
3667,ampuu ,shoots 
3668,likainen ,dirty 
3669,työskenteli ,was working 
3670,potter ,Potter 
3671,tarkemmin ,more specifically 
3672,nuoret ,young people 
3673,määrää ,quantity 
3674,päiviä ,days 
3675,oikealta ,from the right 
3676,tarvitsin ,i needed 
3677,korkeutenne ,your highness 
3678,noiden ,those 
3679,ottavat ,are taking 
3680,maksat ,you pay 
3681,hienoja ,great ones 
3682,ensiksi ,first 
3683,kielletty ,forbidden 
3684,vanhaan ,old 
3685,jäljittää ,trace 
3686,kysymykseen ,to the question 
3687,pettynyt ,disappointed 
3688,tarkoitettu ,intended 
3689,mukanasi ,with you 
3690,suojaan ,for protection 
3691,leikata ,cut 
3692,häivyn ,i disappear 
3693,Seth ,Seth 
3694,jäämme ,we stay 
3695,nolla ,zero 
3696,vikana ,wrong 
3697,omistaja ,owner 
3698,varoittaa ,warn 
3699,syövät ,cancers 
3700,pahoin ,badly 
3701,vuoroni ,my turn 
3702,päätöksen ,the decision 
3703,pysähtykää ,please stop 
3704,jostakin ,about something 
3705,alussa ,at the beginning of 
3706,upealta ,wonderful 
3707,parker ,Parker 
3708,johtajan ,the manager 
3709,myötä ,with 
3710,erästä ,of a batch 
3711,asemalle ,to the station 
3712,heitti ,threw 
3713,sinäkään ,you too 
3714,välität ,you care 
3715,tytöstä ,about the girl 
3716,käskyn ,I command 
3717,käyvät ,are going 
3718,toimisto ,office 
3719,runkkari ,a jerk 
3720,kirkon ,of the church 
3721,turvaan ,for safekeeping 
3722,vienyt ,taken 
3723,pyhän ,holy 
3724,vahvistaa ,confirm 
3725,kerrankin ,for once 
3726,kieltä ,language 
3727,karen ,Karen 
3728,pankki ,bank 
3729,haluaisimme ,we would like to 
3730,vastustaa ,resist 
3731,luulisi ,you would think 
3732,vein ,I took 
3733,mitähän ,what 
3734,näyttäkää ,show me 
3735,saarella ,on the island 
3736,ampuja ,shooter 
3737,maksavat ,are paying 
3738,puhelinta ,phone 
3739,tapahtumaan ,to the event 
3740,räjäyttää ,blow up 
3741,toisinaan ,sometimes 
3742,vakuuttaa ,convince 
3743,maanantaina ,on Monday 
3744,luku ,number 
3745,taatusti ,certainly 
3746,-lla ,-with 
3747,toisensa ,each other 
3748,pani ,put 
3749,aiheutti ,caused 
3750,tärkeitä ,important 
3751,kuulimme ,we heard 
3752,keskelle ,in the middle 
3753,ääniä ,sounds 
3754,meren ,marine 
3755,petti ,cheated 
3756,pankin ,of the bank 
3757,hengiltä ,from spirits 
3758,täydellisesti ,perfectly 
3759,pahinta ,the worst 
3760,salaa ,secretly 
3761,kirottu ,damnable 
3762,tuolle ,to that 
3763,unohdit ,you forgot 
3764,rocky ,Rocky 
3765,vieköön ,let me take 
3766,koneet ,machinery 
3767,salli ,fellow 
3768,rauha ,peace 
3769,salassa ,in secrecy 
3770,alueelle ,to the area 
3771,vaihda ,switch 
3772,jossakin ,somewhere 
3773,teetkö ,do you 
3774,veteen ,into the water 
3775,tajuta ,realize 
3776,öisin ,nightly 
3777,pelkäänpä ,I'm afraid 
3778,kauaa ,a long time 
3779,käyt ,you use 
3780,Kenny ,Kenny 
3781,pitävän ,to like 
3782,autot ,car pool 
3783,johan ,John 
3784,poikaystävä ,boyfriend 
3785,Amerikka ,America 
3786,lopettamaan ,to stop 
3787,sielu ,soul 
3788,ansaitsee ,deserves 
3789,tyttärensä ,his daughter 
3790,ammuit ,you shot 
3791,pimeässä ,in the dark 
3792,kuollutta ,dead 
3793,miljoonia ,millions 
3794,varattu ,reserved 
3795,pam ,pam 
3796,syvältä ,from deep 
3797,työnsä ,his work 
3798,toiste ,again 
3799,viimeistä ,the last one 
3800,linda ,Linda 
3801,alkoivat ,began 
3802,puhe ,speech 
3803,kokous ,meeting 
3804,omin ,my own 
3805,pommin ,bomb 
3806,tekemisissä ,dealing with 
3807,haetaan ,applied for 
3808,kätensä ,his hand 
3809,neitsyt ,Virgin 
3810,kahdesta ,out of two 
3811,taistelemaan ,to fight 
3812,riittävän ,enough 
3813,toisaalta ,secondly 
3814,asema ,station 
3815,antaisin ,I would give 
3816,paikallaan ,in place 
3817,luoda ,create 
3818,selvinnyt ,survived 
3819,kaupan ,on the market 
3820,kateissa ,missing 
3821,mukanani ,with me 
3822,voimia ,forces 
3823,just ,just 
3824,molly ,Molly 
3825,kättä ,hand 
3826,voitit ,you won 
3827,yritimme ,we tried 
3828,tuhatta ,a thousand 
3829,olisikin ,would be 
3830,kovempaa ,harder 
3831,serkkuni ,my cousin 
3832,poistu ,get out 
3833,veti ,pulled 
3834,tanssimaan ,to dance 
3835,valehtelin ,i lied 
3836,tunnistaa ,recognize 
3837,Vincent ,Vincent 
3838,sisältä ,from within 
3839,pallon ,the ball 
3840,silmä ,eye 
3841,muistatteko ,Do you remember? 
3842,sotaan ,to war 
3843,teitkö ,Did you 
3844,häiritse ,disturb 
3845,tuntematon ,unknown 
3846,avaimen ,the key 
3847,ampunut ,shot 
3848,tapaat ,you meet 
3849,tunnetaan ,is known 
3850,nimessä ,in the name of 
3851,koittaa ,dawn 
3852,vitussa ,fucking 
3853,salaisuuksia ,secrets 
3854,vaadin ,female reindeer 
3855,tuttu ,known 
3856,joihin ,to which 
3857,keksinyt ,invented 
3858,isoisä ,grandfather 
3859,jalkasi ,your feet 
3860,pihalla ,in the yard 
3861,olosi ,how you feel 
3862,paranee ,getting better 
3863,naiselle ,for a woman 
3864,rakastanut ,loved 
3865,keinon ,way 
3866,juutalainen ,Jewish 
3867,ethan ,Ethan 
3868,etsimässä ,looking for 
3869,päivään ,to the day 
3870,ideoita ,ideas 
3871,turhaa ,pointless 
3872,käynnistä ,turn on 
3873,haluaisitteko ,Would you like to 
3874,työnnä ,Push 
3875,muutu ,change 
3876,kerrohan ,Let me tell you 
3877,murhattiin ,was murdered 
3878,kertoisin ,I would tell 
3879,kuuli ,heard 
3880,lähetys ,transmission 
3881,väki ,people 
3882,entäpä ,what about 
3883,Nancy ,Nancy 
3884,tulitko ,did you come 
3885,isäntä ,host 
3886,aloitti ,started 
3887,mac ,mac 
3888,Washington ,Washington 
3889,saatoit ,you could 
3890,englannin ,English 
3891,aamiaista ,breakfast 
3892,heräsin ,I woke up 
3893,ilmoita ,notify 
3894,Nathan ,Nathan 
3895,laulu ,song 
3896,välttää ,avoid 
3897,elämässäni ,in my life 
3898,-een ,to 
3899,palataan ,let's go back 
3900,maksanut ,paid 
3901,väärään ,wrong 
3902,ohjaa ,guide 
3903,kentällä ,in the field 
3904,Brad ,Brad 
3905,ohitse ,by 
3906,vuokseni ,for me 
3907,ehdin ,I had time 
3908,hypätä ,jump 
3909,poikien ,boys 
3910,puhuen ,talking 
3911,isääsi ,your father 
3912,käyttämään ,to use 
3913,asioihin ,to things 
3914,valitsi ,chose 
3915,maailmasta ,of the world 
3916,ikkunan ,the window 
3917,valkoisen ,white 
3918,amanda ,Amanda 
3919,jännittävää ,exciting 
3920,pelaamaan ,to play 
3921,uhrin ,victim 
3922,mielenkiintoinen ,interesting 
3923,teal'c ,Teal'c 
3924,keikka ,gig 
3925,isku ,impact 
3926,kaikissa ,in all of them 
3927,lattialle ,on the floor 
3928,pidettävä ,to be held 
3929,pöytä ,table 
3930,luonani ,at my house 
3931,edellä ,above 
3932,äidillesi ,to your mother 
3933,pakeni ,ran away 
3934,emma ,Emma 
3935,työskentelet ,you work 
3936,lähtekää ,go away 
3937,söin ,i ate 
3938,tyttöni ,my girl 
3939,nautin ,I enjoyed 
3940,vähintään ,at least 
3941,lääkkeitä ,medicines 
3942,ranskan ,french 
3943,ansaitse ,earn 
3944,pelkoa ,fear 
3945,huomaatko ,Do you notice 
3946,uskoisi ,would believe 
3947,vuoro ,turn 
3948,pyydät ,you ask 
3949,linjalla ,on the line 
3950,pelko ,fear 
3951,erikoinen ,special 
3952,rock ,rock 
3953,kappas ,brave 
3954,paikallasi ,at your place 
3955,kävimme ,we went 
3956,äitiäsi ,your mother 
3957,keneltä ,from whom 
3958,kansa ,callus 
3959,muutin ,I moved 
3960,tuntevat ,feel 
3961,pelastin ,i saved 
3962,lady ,lady 
3963,mietit ,you think 
3964,parhaiten ,best 
3965,sekopää ,nutcase 
3966,kerroksessa ,on the floor 
3967,peloissani ,scared 
3968,odotas ,you wait 
3969,hommat ,ropes 
3970,Carlos ,Carlos 
3971,luvulla ,century 
3972,uskoin ,i believed 
3973,muutos ,change 
3974,jumalat ,the gods 
3975,säästää ,save 
3976,neidit ,ladies 
3977,verrattuna ,compared to 
3978,asui ,lived 
3979,kulunut ,past 
3980,veljensä ,his brother 
3981,muuttanut ,moved 
3982,sally ,Sally 
3983,yhdelle ,for one 
3984,malta ,Malta 
3985,ambulanssi ,ambulance 
3986,rakastamme ,we love 
3987,ensimmäiset ,the first ones 
3988,kala ,fish 
3989,vampyyri ,vampire 
3990,vankila ,prison 
3991,saksan ,German 
3992,vahingoittaa ,damage 
3993,grace ,Grace 
3994,luulenpa ,I think so 
3995,toimittaja ,supplier 
3996,utelias ,curious 
3997,antoivat ,gave 
3998,onnistua ,succeed 
3999,kartta ,map 
4000,Teddy ,Teddy 
4001,varsin ,quite 
4002,sanovan ,to say 
4003,lois ,parasitic 
4004,hattu ,hat 
4005,täydellisen ,perfect 
4006,las ,cal 
4007,salaisuuden ,the secret 
4008,siirtyä ,move 
4009,isällesi ,to your father 
4010,white ,white 
4011,seksi ,sex 
4012,muttet ,but you don't 
4013,huoneesta ,from the room 
4014,kortti ,tail 
4015,molempien ,of both 
4016,vapauden ,freedom 
4017,syötävää ,something to eat 
4018,söi ,ate 
4019,syytäsi ,your fault 
4020,mieleeni ,to my mind 
4021,tarkistin ,I checked 
4022,luuseri ,loser 
4023,eläkkeelle ,for retirement 
4024,varovaisia ,careful 
4025,hetkessä ,overnight 
4026,tietoinen ,aware 
4027,kauniit ,beautiful ones 
4028,hotellin ,the hotel 
4029,huuda ,Scream 
4030,pelkäävät ,are afraid 
4031,logan ,Logan 
4032,kipua ,pain 
4033,muuttuvat ,are changing 
4034,minkälainen ,what kind 
4035,kutsumme ,we invite 
4036,kuukausia ,months 
4037,napata ,grab 
4038,kävelylle ,for a walk 
4039,kaikkeni ,my everything 
4040,Beth ,Beth 
4041,vangit ,prisoners 
4042,iski ,struck 
4043,ellemme ,unless we 
4044,johdossa ,at the head 
4045,tarvitsi ,needed 
4046,pystyssä ,erect 
4047,minulla ,i have 
4048,rikollinen ,criminal 
4049,käykää ,come on 
4050,kunnioituksella ,with respect 
4051,seriffi ,sheriff 
4052,keskustelu ,discourse 
4053,perjantai ,Friday 
4054,isänne ,your father 
4055,sammy ,Sammy 
4056,amiraali ,admiral 
4057,tiimi ,team 
4058,samalta ,from the same 
4059,ilmi ,out 
4060,listalla ,on the list 
4061,kostaa ,revenge 
4062,lentokentälle ,to the airport 
4063,tyttöystäväsi ,your girlfriend 
4064,päivänjatkoa ,the rest of the day 
4065,sopimusta ,agreement 
4066,ollen ,being 
4067,yrittäkää ,please try 
4068,peto ,beast 
4069,tukea ,support 
4070,erityisen ,particularly 
4071,näkisi ,would see 
4072,maistaa ,taste 
4073,pystyisi ,could 
4074,lukossa ,locked 
4075,kerrottava ,multiplicand 
4076,hienot ,great ones 
4077,aluetta ,area 
4078,energiaa ,energy 
4079,toisemme ,each other 
4080,elänyt ,lived 
4081,mieleni ,my mind 
4082,minullekin ,me too 
4083,viemään ,to take 
4084,hevosen ,a horse 
4085,minulle ,me 
4086,pullo ,bottle 
4087,uskoi ,believed 
4088,kahdestaan ,alone 
4089,pimeyden ,of darkness 
4090,tulevaisuutta ,the future 
4091,karkasi ,ran away 
4092,haittaako ,do you mind 
4093,viestiä ,message 
4094,sellaiseen ,to such 
4095,testi ,test 
4096,takiani ,because of me 
4097,kuulostat ,you sound 
4098,ylikomisario ,superintendent 
4099,jätät ,you leave 
4100,selitä ,clear 
4101,nauha ,tape 
4102,puhuta ,to talk 
4103,painukaa ,press down 
4104,kahdella ,by two 
4105,omassa ,in my own 
4106,nukkunut ,slept 
4107,tutkimaan ,to investigate 
4108,isälle ,to the father 
4109,pariin ,couple 
4110,kerrotaan ,let's tell 
4111,liput ,bunting 
4112,katoaa ,disappears 
4113,löydetty ,found 
4114,Abby ,Abby 
4115,tulokset ,score 
4116,elät ,you live 
4117,kiven ,stone 
4118,tuhosi ,destroyed 
4119,Robin ,Robin 
4120,seuraavaan ,to the next one 
4121,sinuna ,as you 
4122,Amerikassa ,in America 
4123,suunnitelman ,the plan 
4124,ryhmän ,of the group 
4125,Stark ,Stark 
4126,turvallinen ,safe 
4127,jutut ,stuff 
4128,anne ,give 
4129,jaksaa ,keep 
4130,pelataan ,let's play 
4131,tytölle ,for a girl 
4132,tunsi ,felt 
4133,yläpuolella ,above 
4134,pääsy ,access 
4135,kumpikaan ,neither of them 
4136,jooko ,O.K 
4137,kieltää ,prohibit 
4138,Nina ,Nina 
4139,sairasta ,sick 
4140,hyökkää ,attack 
4141,voitan ,I win 
4142,paholaisen ,of the devil 
4143,kultainen ,golden 
4144,kerros ,layer 
4145,tiukka ,tight 
4146,johti ,led 
4147,saadakseni ,in order to get 
4148,eloon ,alive 
4149,saattanut ,may have 
4150,Angel ,Angel 
4151,raportin ,the report 
4152,noloa ,embarrassing 
4153,saapunut ,arrived 
4154,lääkärit ,Harley Street 
4155,olisi ,would be 
4156,elämämme ,our lives 
4157,Lenny ,Lenny 
4158,kääntyä ,turn 
4159,oikeat ,the right ones 
4160,nuoren ,young 
4161,vaara ,wrong 
4162,tunnette ,you know 
4163,vahtia ,watch 
4164,sisareni ,my sister 
4165,sydämensä ,his heart 
4166,Hitler ,Hitler 
4167,ruumiit ,corpses 
4168,you ,you 
4169,päivittäin ,daily 
4170,koneessa ,on the plane 
4171,linnaan ,to the castle 
4172,uskomaan ,to believe 
4173,syntyy ,is born 
4174,mustat ,the black ones 
4175,poistukaa ,get out 
4176,syödään ,let's eat 
4177,arvon ,value 
4178,asunnon ,apartment 
4179,tuuri ,luck 
4180,Lewis ,Lewis 
4181,kasvanut ,grown up 
4182,perse ,ass 
4183,Jennifer ,Jennifer 
4184,palvelusta ,of the service 
4185,käymme ,we go 
4186,sotku ,mess 
4187,ottelu ,match 
4188,suuntaa ,direction 
4189,Vince ,Vince 
4190,lehden ,magazine 
4191,vihollisia ,enemies 
4192,Greg ,Greg 
4193,kent ,Kent 
4194,suora ,direct 
4195,itsemurha ,suicide 
4196,hassu ,funny 
4197,aikonut ,intended to 
4198,tiesivät ,knew 
4199,planeetta ,planet 
4200,kertoiko ,Did you tell 
4201,leikkaa ,cut 
4202,toiselta ,from another 
4203,neljäs ,fourth 
4204,opetan ,I teach 
4205,poikaani ,my son 
4206,kiertää ,rotate 
4207,ihmiset ,people 
4208,ministeri ,minister 
4209,otettava ,to be taken 
4210,näinkö ,Did I see? 
4211,ottivat ,took 
4212,istut ,you sit 
4213,liike ,business 
4214,järjestelmä ,system 
4215,kunnioittaa ,respect 
4216,tekeväsi ,that you are doing 
4217,elokuvaa ,movie 
4218,voimat ,power 
4219,von ,won 
4220,onnellisia ,happy ones 
4221,paholainen ,devil 
4222,veit ,you take 
4223,tulisitko ,would you come 
4224,rotta ,rat 
4225,toimistossa ,in the office 
4226,matalaksi ,to low 
4227,palkkasi ,your salary 
4228,sut ,you 
4229,naisista ,about women 
4230,voiman ,power 
4231,tappaisi ,would kill 
4232,huijari ,charlatan 
4233,iskee ,strikes 
4234,ongelmana ,as a problem 
4235,parhaillaan ,presently 
4236,donna ,Donna 
4237,Albert ,Albert 
4238,käskee ,commands 
4239,palkkaa ,wages 
4240,panin ,I put 
4241,vielä ,yet 
4242,rohkeutta ,courage 
4243,korjaa ,fix it 
4244,lopetin ,i stopped 
4245,olento ,being 
4246,hallinnassa ,under control 
4247,kutsut ,party 
4248,ansainnut ,deserved 
4249,tarjous ,offer 
4250,rankka ,heavy 
4251,lähetetään ,is sent 
4252,pikkuinen ,little one 
4253,riisu ,Undress 
4254,suojelee ,protects 
4255,odottamassa ,on hold 
4256,molemmille ,for both 
4257,tiedättehän ,you know 
4258,maamme ,our country 
4259,myönnä ,admit 
4260,piiloon ,to hide 
4261,tulessa ,on fire 
4262,hajuakaan ,no smell 
4263,keittiössä ,in the kitchen 
4264,kiitän ,I thank you 
4265,sormuksen ,the ring 
4266,kävisi ,would do 
4267,kutsuit ,you invited 
4268,sammuttaa ,shut off 
4269,kuulitteko ,You heard 
4270,katolla ,on the roof 
4271,etukäteen ,in advance 
4272,Frankie ,Frankie 
4273,ulkopuolelle ,outside 
4274,järjestän ,I will arrange 
4275,kuvernööri ,governor 
4276,luki ,read 
4277,tapahtuvan ,happening 
4278,Brown ,Brown 
4279,ratkaista ,solve 
4280,Marie ,Marie 
4281,kääntyy ,turns 
4282,venäläiset ,Russians 
4283,ohjelman ,program 
4284,puu ,wood 
4285,pysähtyä ,stop 
4286,ann ,Ann 
4287,järkyttynyt ,upset 
4288,hyökkäsi ,attacked 
4289,alakertaan ,downstairs 
4290,kuuluvat ,belong 
4291,kenestä ,of whom 
4292,ottamatta ,without taking 
4293,tällöin ,here 
4294,unessa ,asleep 
4295,kovia ,tough 
4296,Martha ,Martha 
4297,huonetta ,room 
4298,hänkö ,Hanko 
4299,pelkäätkö ,Are you afraid? 
4300,saatu ,received 
4301,sanomassa ,in the message 
4302,kohdata ,face 
4303,toivomme ,we hope 
4304,kauniin ,the most beautiful 
4305,palaavat ,are returning 
4306,syöpä ,cancer 
4307,päälleni ,on me 
4308,Pariisissa ,in Paris 
4309,Jay ,Jay 
4310,lähetämme ,we send 
4311,perustuu ,based on 
4312,venäjän ,Russian 
4313,pidätettiin ,was arrested 
4314,kaikkialta ,from everywhere 
4315,puhdasta ,clean 
4316,muutan ,I'm moving 
4317,arvokas ,valuable 
4318,tekijä ,factor 
4319,seuraavaa ,next 
4320,taidamme ,we think 
4321,viskiä ,whiskey 
4322,lukemaan ,to read 
4323,Lawrence ,Lawrence 
4324,hirveä ,terrible 
4325,kumpikin ,each 
